extractSampleNumber,samplingBlock,motherCommunity,communityNumber,timePoint,extractPlate,extractRow,extractCol,extractLocation,flySpeciesID,parasitoidPresence,parasitoidID,comment
140,,,,T2,2,D,8,2-D08,,,,
141,,,,T2,2,D,9,2-D09,,,,
142,,,,T2,2,D,10,2-D10,,,,
143,,,,T2,2,D,11,2-D11,,,,
144,,,,T2,2,D,12,2-D12,,,,
145,,,,T2,2,E,1,2-E01,,,,
146,,,,T2,2,E,2,2-E02,,,,
147,,,,T2,2,E,3,2-E03,,,,
148,,,,T2,2,E,4,2-E04,,,,
149,,,,T2,2,E,5,2-E05,,,,
150,,,,T2,2,E,6,2-E06,,,,
151,,,,T2,2,E,7,2-E07,,,,
152,,,,T2,2,E,8,2-E08,,,,
153,,,,T2,2,E,9,2-E09,,,,
154,,,,T2,2,E,10,2-E10,,,,
155,,,,T2,2,E,11,2-E11,,,,
156,,,,T2,2,E,12,2-E12,,,,
157,,,,T2,2,F,1,2-F01,,,,
158,,,,T2,2,F,2,2-F02,,,,
159,,,,T2,2,F,3,2-F03,,,,
160,,,,T2,2,F,4,2-F04,,,,
161,,,,T2,2,F,5,2-F05,,,,
162,,,,T2,2,F,6,2-F06,,,,
163,,,,T3,2,F,7,2-F07,,,,
164,,,,T3,2,F,8,2-F08,,,,
165,,,,T3,2,F,9,2-F09,,,,
166,,,,T3,2,F,10,2-F10,,,,
167,,,,T3,2,F,11,2-F11,,,,
168,,,,T3,2,F,12,2-F12,,,,
169,,,,T3,2,G,1,2-G01,,,,
170,,,,T3,2,G,2,2-G02,,,,
171,,,,T3,2,G,3,2-G03,,,,
172,,,,T3,2,G,4,2-G04,,,,
173,,,,T3,2,G,5,2-G05,,,,
174,,,,T3,2,G,6,2-G06,,,,
175,,,,T3,2,G,7,2-G07,,,,
176,,,,T3,2,G,8,2-G08,,,,
177,,,,T3,2,G,9,2-G09,,,,
178,,,,T3,2,G,10,2-G10,,,,
179,,,,T3,2,G,11,2-G11,,,,
180,,,,T3,2,G,12,2-G12,,,,
181,,,,T3,2,H,1,2-H01,,,,
182,,,,T3,2,H,2,2-H02,,,,
183,,,,T3,2,H,3,2-H03,,,,
184,,,,T3,2,H,4,2-H04,,,,
185,,,,T3,2,H,5,2-H05,,,,
186,,,,T3,2,H,6,2-H06,,,,
187,,,,T3,2,H,7,2-H07,,,,
188,,,,T3,2,H,8,2-H08,,,,
189,,,,T3,2,H,9,2-H09,,,,
190,,,,T3,2,H,10,2-H10,,,,
191,,,,T3,2,H,11,2-H11,,,,
192,,,,negctrl-2,2,H,12,2-H12,,,,
193,,,,T1,3,A,1,3-A01,,,,
194,,,,T1,3,A,2,3-A02,,,,
195,,,,T1,3,A,3,3-A03,,,,
196,,,,T1,3,A,4,3-A04,,,,
197,,,,T1,3,A,5,3-A05,,,,
198,,,,T1,3,A,6,3-A06,,,,
199,,,,T1,3,A,7,3-A07,,,,
200,,,,T1,3,A,8,3-A08,,,,
201,,,,T1,3,A,9,3-A09,,,,
202,,,,T1,3,A,10,3-A10,,,,
203,,,,T1,3,A,11,3-A11,,,,
204,,,,T1,3,A,12,3-A12,,,,
205,,,,T1,3,B,1,3-B01,,,,
206,,,,T1,3,B,2,3-B02,,,,
207,,,,T1,3,B,3,3-B03,,,,
208,,,,T1,3,B,4,3-B04,,,,
209,,,,T1,3,B,5,3-B05,,,,
210,,,,T1,3,B,6,3-B06,,,,
211,,,,T1,3,B,7,3-B07,,,,
212,,,,T1,3,B,8,3-B08,,,,
213,,,,T1,3,B,9,3-B09,,,,
214,,,,T1,3,B,10,3-B10,,,,
215,,,,T1,3,B,11,3-B11,,,,
216,,,,T1,3,B,12,3-B12,,,,
217,,,,T1,3,C,1,3-C01,,,,
218,,,,T1,3,C,2,3-C02,,,,
219,,,,T1,3,C,3,3-C03,,,,
220,,,,T1,3,C,4,3-C04,,,,
221,,,,T1,3,C,5,3-C05,,,,
222,,,,T1,3,C,6,3-C06,,,,
223,,,,T1,3,C,7,3-C07,,,,
224,,,,T1,3,C,8,3-C08,,,,
225,,,,T1,3,C,9,3-C09,,,,
226,,,,T1,3,C,10,3-C10,,,,
227,,,,T1,3,C,11,3-C11,,,,
228,,,,T1,3,C,12,3-C12,,,,
229,,,,T2,3,D,1,3-D01,,,,
230,,,,T2,3,D,2,3-D02,,,,
231,,,,T2,3,D,3,3-D03,,,,
232,,,,T2,3,D,4,3-D04,,,,
233,,,,T2,3,D,5,3-D05,,,,
234,,,,T2,3,D,6,3-D06,,,,
235,,,,T2,3,D,7,3-D07,,,,
236,,,,T2,3,D,8,3-D08,,,,
237,,,,T2,3,D,9,3-D09,,,,
238,,,,T2,3,D,10,3-D10,,,,
239,,,,T2,3,D,11,3-D11,,,,
240,,,,T2,3,D,12,3-D12,,,,
241,,,,T2,3,E,1,3-E01,,,,
242,,,,T2,3,E,2,3-E02,,,,
243,,,,T2,3,E,3,3-E03,,,,
244,,,,T2,3,E,4,3-E04,,,,
245,,,,T2,3,E,5,3-E05,,,,
246,,,,T2,3,E,6,3-E06,,,,
247,,,,T2,3,E,7,3-E07,,,,
248,,,,T2,3,E,8,3-E08,,,,
249,,,,T2,3,E,9,3-E09,,,,
250,,,,T2,3,E,10,3-E10,,,,
251,,,,T2,3,E,11,3-E11,,,,
252,,,,T2,3,E,12,3-E12,,,,
253,,,,T2,3,F,1,3-F01,,,,
254,,,,T2,3,F,2,3-F02,,,,
255,,,,T2,3,F,3,3-F03,,,,
256,,,,T2,3,F,4,3-F04,,,,
257,,,,T2,3,F,5,3-F05,,,,
258,,,,T2,3,F,6,3-F06,,,,
259,,,,T3,3,F,7,3-F07,,,,
260,,,,T3,3,F,8,3-F08,,,,
261,,,,T3,3,F,9,3-F09,,,,
262,,,,T3,3,F,10,3-F10,,,,
263,,,,T3,3,F,11,3-F11,,,,
264,,,,T3,3,F,12,3-F12,,,,
265,,,,T3,3,G,1,3-G01,,,,
266,,,,T3,3,G,2,3-G02,,,,
267,,,,T3,3,G,3,3-G03,,,,
268,,,,T3,3,G,4,3-G04,,,,
269,,,,T3,3,G,5,3-G05,,,,
270,,,,T3,3,G,6,3-G06,,,,
271,,,,T3,3,G,7,3-G07,,,,
272,,,,T3,3,G,8,3-G08,,,,
273,,,,T3,3,G,9,3-G09,,,,
274,,,,T3,3,G,10,3-G10,,,,
275,,,,T3,3,G,11,3-G11,,,,
276,,,,T3,3,G,12,3-G12,,,,
277,,,,T3,3,H,1,3-H01,,,,
278,,,,T3,3,H,2,3-H02,,,,
279,,,,T3,3,H,3,3-H03,,,,
280,,,,T3,3,H,4,3-H04,,,,
281,,,,T3,3,H,5,3-H05,,,,
282,,,,T3,3,H,6,3-H06,,,,
283,,,,T3,3,H,7,3-H07,,,,
284,,,,T3,3,H,8,3-H08,,,,
285,,,,T3,3,H,9,3-H09,,,,
286,,,,T3,3,H,10,3-H10,,,,
287,,,,T3,3,H,11,3-H11,,,,
288,,,,negctrl-3,3,H,12,3-H12,,,,
